year,licitacao_id,modalidade,numero,codigo,objeto,situacao
2023,20345,PREGÃO ELETRONICO,27/2023,90,Contratação de empresa para prestação de serviços referentes ao tratamento de água de 15 (quinze) poços artesianos (soluções alternativas coletivas) e limpeza dos reservatórios .,Homologada
2023,20399,INEXIGIBILIDADE,27/2023,139,Contratação de empresa especializada no fornecimento de assinatura de ferramenta de pesquisa e comparação de preços praticados pela Administração Pública. Maiores detalhes estão no Termo de Referência e demais documentos que integram o devido processo de Inexigibilidade.,Homologada
2023,20407,INEXIGIBILIDADE,28/2023,147,"Contratação de show artístico musical de Cassia Abreu, no evento ""Semana Farroupilha na Praça XV.""",Homologada
2023,20346,PREGÃO ELETRONICO,28/2023,91,Registro de preço para aquisição de gêneros de alimentação,Homologada
2023,20356,PRD DISPENSA EXCETO PEQUENO VALOR,28/2023,101,"Termo de Fomento celebrado entre o Município de São Borja e a Associação dos Pais e Amigos dos Excepcionais - APAE, com a finalidade de executar o Projeto ""Construção da Casa do Autista"", com recursos oriundos de Emenda Parlamentar através do Programa 09032022 e do Plano de Ação 09032022-018344 do Ministério da Economia.",Homologada
2023,20348,PREGÃO ELETRONICO,29/2023,93,"Registro de preços de fraldas infantis e geriátricas destinadas aos usuários do Sistema Único de Saúde - SUS cadastrados exclusivamente no Sistema de Gerenciamento dos usuários com Deficiência - GUD, através do NASF.",Homologada
2023,20408,INEXIGIBILIDADE,29/2023,148,"Contratação da empresa Claudiomiro Nardes Medeiros, responsável pelo show artístico musical de Thierry Monzon Robalo, no evento Semana Farroupilha na Praça XV.",Homologada
2023,20360,PRD DISPENSA EXCETO PEQUENO VALOR,29/2023,105,Contratação direta do Serviço Brasileiro às Micro e Pequenas Empresas (SEBRAE) para a execução de prestação de serviços de consultoria e cursos para o Município.,Homologada
2023,20349,PREGÃO ELETRONICO,30/2023,94,Registro de preço de materiais laboratoriais para uso no Laboratório Municipal de Fronteira de São Borja,Homologada
2023,20410,INEXIGIBILIDADE,30/2023,150,"Contratação da empresa Claudimiro Nardes Medeiros, responsável pelo show artístico musical de Matheus Pimentel Nunes, no evento ""Semana Farroupilha na Praça XV"".",Homologada
