id_credor,cnpj,nome_credor,pago_R$,classificacao,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count
145008,46728867000169,RIKA COMERCIAL DE PRODUTOS GOVERNAMENTAI,61687.96,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,1154,PAULO BENTO,0
140517,17417928000179,VENTISOL DA AMAZONIA INDUSTRIA DE APAREL,61347.44,EXTERNAL_NO_LOCAL_FOOTPRINT,02,AM,0255,MANAUS,0
41750,06223400000142,SYSTRONIC TECNOLOGIA LTDA,60292.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
50528,02823782000194,GRUPO DE APOIO A BRIGADA MILITAR DE SAO,60000.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
140441,08149396000145,DESIGN RICARDENSE - INDÚSTRIA DE MÓVEIS,59860.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,0978,DOUTOR RICARDO,0
152308,24693328000280,IMPORTIRE IMPORTADORA E DISTRIBUIDORA DE,59780.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SC,8055,BRUSQUE,0
62114,21968331000190,VERA ALICE CHAGAS-ME,59488.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
131281,90180605000102,GENTE SEGURADORA S.A,59289.21,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
62352,22778938000170,CRISTIANE MARTINS PEREIRA E CIA LTDA,58996.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
152631,44449147000139,DM DISTRIBUIDORA DE DESCARTAVEIS LTDA,58077.32,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8589,CANOAS,0
141246,40100470000141,BRUNO ERTELE FURQUM,57744.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
128050,10936352000107,ESCOLA E ESCRITORIO INDUSTRIA E COMERCIO,56088.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,6059,SAO JOSE DO INHACORA,0
128669,73856593000166,PRATI DONADUZZI & CIA LTDA,53863.4,EXTERNAL_NO_LOCAL_FOOTPRINT,02,PR,7927,TOLEDO,0
143045,07319261000118,ELIETE BEATRIZ HAUPENTHAL & CIA LTDA,53239.5,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,6059,SAO JOSE DO INHACORA,0
137441,34539958000177,PAULO RICARDO DOZZA,52118.92,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
151511,50625983000120,MATEUS G DROPA SERVICOS MEDICOS LTDA,50985.9,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0
47042,09647647000184,CRISTIANE BORGES DA SILVA,50687.08,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
140930,20657155000102,ILG COMERCIAL LTDA,50498.21,EXTERNAL_NO_LOCAL_FOOTPRINT,02,PR,7751,PATO BRANCO,0
140184,34996803000160,RICARDO DOS SANTOS 84480378049,50000.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
150182,02961362000174,MINISTERIO DO ESPORTE,49634.84,EXTERNAL_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0
59835,19689111000185,4 PATAS PET LTDA,49293.85,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
153822,63155462000106,RESIDENCIAL CASA VIVARE,48000.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8433,CIDREIRA,0
18749,96491709000106,SINDICATO RURAL DE SAO BORJA,48000.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
144192,45767888000120,MECÂNICA E TORNEARIA SRS LTDA,47810.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
153749,16779255000304,ELETRO CENTRO COMERCIO DE PEÇAS E ELETRO,46800.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,ES,5699,SERRA,0
65644,26918777000123,LAURENCE RODRIGUES LOPES E VARGAS LTDA,46788.73,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
150911,47820174000164,A MARINHO MOREIRA,46680.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0
69197,30713195000188,TERABYTE SOLUÇOES EM TI LTDA,46365.04,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
148020,51560442000123,DUFILTER DISTRIBUIDORA DE FILTROS E LUBR,46155.7,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8599,CAXIAS DO SUL,0
149420,42470027000198,TBR CONSTRUCOES LTDA,45036.89,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8851,SANTIAGO,0
131210,88733811000142,FAMURS - FEDERAÇÃO DAS ASSOC. DE MUNICIP,44560.47,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
151508,48566347000122,TELES SOLUCOES EMPRESARIAIS LTDA,42559.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,ES,5699,SERRA,0
148356,22795601000170,MORABEZA CULTURAL LTDA,42000.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
150215,52692151000151,SAN ANGEL CONSTRUTORA LTDA,41907.74,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8853,SANTO ANGELO,0
152669,42188256000114,ODIMED COMERCIO VAREJISTA DE PRODUTOS DE,41863.95,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0
70410,92885888000105,PAUSE & PERIN - ADVOGADOS ASSOCIADOS,41484.67,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
66929,20275382000173,DALBERTO CONSULTORIA E ASSESSORIA LTDA,41417.74,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8807,PUTINGA,0
131413,92702067000196,BANRISUL - BANCO DO ESTADO DO RS,40350.94,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,1
137149,33910508000186,ALESSANDRO ANDRADE BENITES,40280.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
41582,90217225000197,AGRIMETAL INDUSTRIA E COM DE MAQUINAS LT,39500.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8705,IJUI,0
131258,89704522000188,ASSOCIACAO DOS MUNICIPIOS DA FRONTEIRA O,39200.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
153352,33393503000123,J BORELLA & BORELLA LTDA,39014.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,PR,7701,MEDIANEIRA,0
