year,function,stage,value_R$,source,nature
2023,04 - Administração,Despesas Liquidadas,32384066.23,SICONFI DCA Anexo I-E,observed
2023,06 - Segurança Pública,Despesas Liquidadas,859528.61,SICONFI DCA Anexo I-E,observed
2023,08 - Assistência Social,Despesas Liquidadas,8788778.84,SICONFI DCA Anexo I-E,observed
2023,09 - Previdência Social,Despesas Liquidadas,39028115.18,SICONFI DCA Anexo I-E,observed
2023,10 - Saúde,Despesas Liquidadas,98319112.32,SICONFI DCA Anexo I-E,observed
2023,11 - Trabalho,Despesas Liquidadas,301.3,SICONFI DCA Anexo I-E,observed
2023,12 - Educação,Despesas Liquidadas,67305393.2,SICONFI DCA Anexo I-E,observed
2023,13 - Cultura,Despesas Liquidadas,944739.05,SICONFI DCA Anexo I-E,observed
2023,14 - Direitos da Cidadania,Despesas Liquidadas,19678.01,SICONFI DCA Anexo I-E,observed
2023,15 - Urbanismo,Despesas Liquidadas,14133171.97,SICONFI DCA Anexo I-E,observed
2023,16 - Habitação,Despesas Liquidadas,534482.25,SICONFI DCA Anexo I-E,observed
2023,17 - Saneamento,Despesas Liquidadas,46078.0,SICONFI DCA Anexo I-E,observed
2023,18 - Gestão Ambiental,Despesas Liquidadas,65193.83,SICONFI DCA Anexo I-E,observed
2023,20 - Agricultura,Despesas Liquidadas,115448.75,SICONFI DCA Anexo I-E,observed
2023,23 - Comércio e Serviços,Despesas Liquidadas,381944.83,SICONFI DCA Anexo I-E,observed
2023,26 - Transporte,Despesas Liquidadas,545037.68,SICONFI DCA Anexo I-E,observed
2023,27 - Desporto e Lazer,Despesas Liquidadas,670620.93,SICONFI DCA Anexo I-E,observed
2023,28 - Encargos Especiais,Despesas Liquidadas,15700304.34,SICONFI DCA Anexo I-E,observed
2023,01 - Legislativa,Despesas Pagas,8605807.98,SICONFI DCA Anexo I-E,observed
2023,04 - Administração,Despesas Pagas,32062895.44,SICONFI DCA Anexo I-E,observed
2023,06 - Segurança Pública,Despesas Pagas,857108.72,SICONFI DCA Anexo I-E,observed
2023,08 - Assistência Social,Despesas Pagas,8716681.75,SICONFI DCA Anexo I-E,observed
2023,09 - Previdência Social,Despesas Pagas,39028115.18,SICONFI DCA Anexo I-E,observed
2023,10 - Saúde,Despesas Pagas,97386237.4,SICONFI DCA Anexo I-E,observed
2023,11 - Trabalho,Despesas Pagas,301.3,SICONFI DCA Anexo I-E,observed
2023,12 - Educação,Despesas Pagas,66633162.79,SICONFI DCA Anexo I-E,observed
2023,13 - Cultura,Despesas Pagas,869674.09,SICONFI DCA Anexo I-E,observed
2023,14 - Direitos da Cidadania,Despesas Pagas,19678.01,SICONFI DCA Anexo I-E,observed
2023,15 - Urbanismo,Despesas Pagas,14020524.51,SICONFI DCA Anexo I-E,observed
2023,16 - Habitação,Despesas Pagas,534482.25,SICONFI DCA Anexo I-E,observed
2023,17 - Saneamento,Despesas Pagas,46078.0,SICONFI DCA Anexo I-E,observed
2023,18 - Gestão Ambiental,Despesas Pagas,64897.67,SICONFI DCA Anexo I-E,observed
2023,20 - Agricultura,Despesas Pagas,115448.75,SICONFI DCA Anexo I-E,observed
2023,23 - Comércio e Serviços,Despesas Pagas,381944.83,SICONFI DCA Anexo I-E,observed
2023,26 - Transporte,Despesas Pagas,529884.15,SICONFI DCA Anexo I-E,observed
2023,27 - Desporto e Lazer,Despesas Pagas,670620.93,SICONFI DCA Anexo I-E,observed
2023,28 - Encargos Especiais,Despesas Pagas,15246572.68,SICONFI DCA Anexo I-E,observed
2024,01 - Legislativa,Despesas Empenhadas,9349374.09,SICONFI DCA Anexo I-E,observed
2024,04 - Administração,Despesas Empenhadas,34884028.93,SICONFI DCA Anexo I-E,observed
2024,06 - Segurança Pública,Despesas Empenhadas,1771110.6,SICONFI DCA Anexo I-E,observed
2024,08 - Assistência Social,Despesas Empenhadas,11012306.03,SICONFI DCA Anexo I-E,observed
2024,09 - Previdência Social,Despesas Empenhadas,43523882.94,SICONFI DCA Anexo I-E,observed
2024,10 - Saúde,Despesas Empenhadas,107103729.92,SICONFI DCA Anexo I-E,observed
2024,11 - Trabalho,Despesas Empenhadas,201257.65,SICONFI DCA Anexo I-E,observed
2024,12 - Educação,Despesas Empenhadas,74875830.59,SICONFI DCA Anexo I-E,observed
2024,13 - Cultura,Despesas Empenhadas,1732363.1,SICONFI DCA Anexo I-E,observed
2024,14 - Direitos da Cidadania,Despesas Empenhadas,17692.96,SICONFI DCA Anexo I-E,observed
2024,15 - Urbanismo,Despesas Empenhadas,30889247.73,SICONFI DCA Anexo I-E,observed
2024,16 - Habitação,Despesas Empenhadas,1940879.25,SICONFI DCA Anexo I-E,observed
