regime,position_date,page,cnae,count
SIMEI,12/09/2026,1,2532201,5
SIMEI,12/09/2026,1,2539001,48
SIMEI,12/09/2026,1,2539002,1
SIMEI,12/09/2026,1,2541100,4
SIMEI,12/09/2026,1,2542000,17
SIMEI,12/09/2026,1,2543800,1
SIMEI,12/09/2026,1,2599301,4
SIMEI,12/09/2026,1,2599399,1
SIMEI,12/09/2026,1,2950600,1
SIMEI,12/09/2026,1,3101200,14
SIMEI,12/09/2026,1,3102100,1
SIMEI,12/09/2026,1,3212400,3
SIMEI,12/09/2026,1,3240099,1
SIMEI,12/09/2026,1,3299002,1
SIMEI,12/09/2026,1,3299006,3
SIMEI,12/09/2026,1,3299099,31
SIMEI,12/09/2026,1,3313901,1
SIMEI,12/09/2026,1,3313999,1
SIMEI,12/09/2026,1,3314702,2
SIMEI,12/09/2026,1,3314707,5
SIMEI,12/09/2026,1,3314710,3
SIMEI,12/09/2026,1,3314711,39
SIMEI,12/09/2026,1,3314712,24
SIMEI,12/09/2026,1,3314719,1
SIMEI,12/09/2026,1,3317102,1
SIMEI,12/09/2026,1,3319800,4
SIMEI,12/09/2026,1,3321000,9
SIMEI,12/09/2026,1,3329501,27
SIMEI,12/09/2026,1,3831901,1
SIMEI,12/09/2026,1,4321500,109
SIMEI,12/09/2026,1,4322301,13
SIMEI,12/09/2026,1,4322302,35
SIMEI,12/09/2026,1,4329101,1
SIMEI,12/09/2026,1,4329104,1
SIMEI,12/09/2026,1,4330402,8
SIMEI,12/09/2026,1,4330403,10
SIMEI,12/09/2026,1,4330404,76
SIMEI,12/09/2026,1,4330405,10
SIMEI,12/09/2026,1,4330499,3
SIMEI,12/09/2026,1,4399103,339
SIMEI,12/09/2026,1,4399199,19
SIMEI,12/09/2026,1,4520001,108
SIMEI,12/09/2026,1,4520002,41
SIMEI,12/09/2026,1,4520003,17
SIMEI,12/09/2026,1,4520005,61
SIMEI,12/09/2026,1,4520006,18
SIMEI,12/09/2026,1,4520007,16
SIMEI,12/09/2026,1,4530703,29
SIMEI,12/09/2026,1,4530704,6
SIMEI,12/09/2026,1,4530705,4
SIMEI,12/09/2026,1,4541206,13
SIMEI,12/09/2026,1,4543900,14
SIMEI,12/09/2026,1,4712100,176
SIMEI,12/09/2026,1,4713002,7
SIMEI,12/09/2026,1,4721102,20
SIMEI,12/09/2026,1,4721103,2
SIMEI,12/09/2026,1,4721104,4
SIMEI,12/09/2026,1,4722901,7
SIMEI,12/09/2026,1,4722902,3
SIMEI,12/09/2026,1,4723700,144
SIMEI,12/09/2026,2,4724500,18
SIMEI,12/09/2026,2,4729601,4
SIMEI,12/09/2026,2,4729699,28
SIMEI,12/09/2026,2,4732600,1
SIMEI,12/09/2026,2,4742300,3
SIMEI,12/09/2026,2,4743100,3
SIMEI,12/09/2026,2,4744001,14
SIMEI,12/09/2026,2,4744002,1
SIMEI,12/09/2026,2,4744003,1
SIMEI,12/09/2026,2,4744004,1
SIMEI,12/09/2026,2,4744099,3
SIMEI,12/09/2026,2,4751201,19
SIMEI,12/09/2026,2,4752100,14
