cnpj,nome_credor,rubrica,empenhos,empenhado_R$,anulado_R$,liquidado_R$,pago_R$
43800726000111,SECRETARIA DE TRABALHO E DESENVOLVIMENTO,INDENIZAÇÕES E RESTITUIÇÕES,6,93060.63,9.01,93051.62,93051.62
26991097000135,SIGMA MAQUINAS E REPRESENTACOES LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,1,91200.0,0.0,91200.0,91200.0
19390998000297,GAMBATTO H1 VEICULOS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,1,91000.0,0.0,91000.0,91000.0
51978129000100,ARPL DISTRIBUIDORA LTDA,MATERIAL DE CONSUMO,39,104980.95,0.0,90376.26,90376.26
33084691000299,ESSENCE DECOR LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,15,90706.0,0.0,90363.0,90363.0
57530637000107,T.M.F FALCAO LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,17,193138.25,4453.01,90012.64,90012.64
29979036027693,INSTITUTO NACIONAL DE SEGURO SOCIAL - IN,COMPENSAÇÕES A REGIMES DE PREVIDÊNCIA,1,89452.35,0.0,89452.35,89452.35
03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITAL,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",16,135512.09,126.69,87816.1,87816.1
20230791000668,CEMITERIO E CREMATORIO MEMORIAL ANGELOS,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",6,176514.56,13248.68,85291.81,85291.81
89225932000146,JC VALDUGA LTDA,MATERIAL DE CONSUMO,3,108752.0,24048.0,84704.0,84704.0
01304858000102,ETIO AMARILHO MATTES & CIA LTDA,MATERIAL DE CONSUMO,52,88368.3,0.0,84171.3,84171.3
49333270000103,D C METZ COMERCIAL,EQUIPAMENTOS E MATERIAL PERMANENTE,5,84334.1,321.3,84012.8,84012.8
41098601000166,MC FARMA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",4,84000.0,0.0,84000.0,84000.0
92954957000195,CENTRO DE INTEGRACAO EMPRESA ESCOLA DO R,AUXÍLIO TRANSPORTE,52,155853.08,22017.28,83703.8,83443.8
04309482000117,M. KIRST LTDA,MATERIAL DE CONSUMO,23,86690.9,0.0,83200.9,83200.9
51601943000100,J. M. DE BITTENCOURT & CIA. LTDA.,OBRAS E INSTALAÇÕES,3,83165.13,0.0,83165.13,83165.13
10748403000177,INSTITUTO DE ANATOMIA PATOLOGICA E CITOP,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,157983.65,6002.32,82609.52,82609.52
72309164000106,BATAIOLLI BOMBAS INJETORAS LTDA.,MATERIAL DE CONSUMO,26,90842.5,0.0,82482.5,82482.5
04210265000175,ESSENCIAL ASSESSORIA TRIBUTÁRIA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,4,123927.56,0.0,82107.92,82107.92
07759909000177,ANDRES EDITORA JORNALISTICA LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12,187283.02,4490.84,81242.15,81242.15
61787241000117,TALISON HENRICK VIANA DOS SANTOS,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6,112839.14,0.0,80331.13,80331.13
30544566000145,LINDOMAR CRUZ LOPES 95654461087,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7,99233.5,9539.0,79037.0,79037.0
02520829000140,DIMASTER COMERCIO DE PRODUTOS HOSPITALAR,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",9,75921.5,155.25,75766.25,75766.25
10439851000512,CASSOL COMERCIO E TRANSPORTE DE GAS LTDA,MATERIAL DE CONSUMO,16,76831.95,0.0,75537.27,75537.27
28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",2,72050.0,0.0,72050.0,72050.0
23643693000136,AUTO PEÇAS IRMÃOS ROBALO LTDA,MATERIAL DE CONSUMO,28,74466.46,3300.0,71166.46,71166.46
05457283000208,MINISTERIO DO TURISMO,INDENIZAÇÕES E RESTITUIÇÕES,2,70977.88,0.0,70977.88,70977.88
07236167000103,TRI TELECOM LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,2,121747.17,0.0,80605.93,70320.62
12889035000102,INOVAMED HOSPITALAR LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",24,82393.82,132.39,79830.83,70242.26
92954106000142,VIACAO OURO E PRATA S/A,PASSAGENS E DESPESAS COM LOCOMOÇÃO,4,68047.2,0.0,68047.2,68047.2
11606789000145,FALCAO EPI''S LTDA,MATERIAL DE CONSUMO,18,106560.94,0.0,66248.85,66248.85
05465986000601,MINISTERIO DAS CIDADES,INDENIZAÇÕES E RESTITUIÇÕES,1,65929.79,0.0,65929.79,65929.79
22525517000137,J.F COMERCIO DE MATERIAL E MEDICAMENTOS,MATERIAL DE CONSUMO,15,80286.81,0.0,65425.1,65425.1
07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",10,104208.56,7.59,84935.72,63493.47
74913013000198,CHULIPA AVALIACOES S/S,SERVIÇOS DE CONSULTORIA,2,108000.0,0.0,72000.0,63000.0
46728867000169,RIKA COMERCIAL DE PRODUTOS GOVERNAMENTAI,EQUIPAMENTOS E MATERIAL PERMANENTE,7,74853.01,13165.05,61687.96,61687.96
17417928000179,VENTISOL DA AMAZONIA INDUSTRIA DE APAREL,EQUIPAMENTOS E MATERIAL PERMANENTE,9,111639.98,48389.2,61347.44,61347.44
88489786000101,MUNICIPIO DE SAO BORJA,OBRIGAÇÕES PATRONAIS,16,60913.15,0.0,60913.15,60913.15
08149396000145,DESIGN RICARDENSE - INDÚSTRIA DE MÓVEIS,EQUIPAMENTOS E MATERIAL PERMANENTE,11,86225.32,13891.07,59860.0,59860.0
24693328000280,IMPORTIRE IMPORTADORA E DISTRIBUIDORA DE,MATERIAL DE CONSUMO,1,59780.0,0.0,59780.0,59780.0
90180605000102,GENTE SEGURADORA S.A,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7,59289.21,0.0,59289.21,59289.21
44449147000139,DM DISTRIBUIDORA DE DESCARTAVEIS LTDA,MATERIAL DE CONSUMO,37,85223.48,0.0,58077.32,58077.32
40100470000141,BRUNO ERTELE FURQUM,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,25,295780.0,0.0,58306.0,57744.0
26461699045524,CONAB - COMPANHIA NACIONAL DE ABASTECIME,OBRIGAÇÕES PATRONAIS,9,64016.24,6915.82,57100.42,57100.42
10936352000107,ESCOLA E ESCRITORIO INDUSTRIA E COMERCIO,EQUIPAMENTOS E MATERIAL PERMANENTE,3,85154.77,29066.77,56088.0,56088.0
06223400000142,SYSTRONIC TECNOLOGIA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,4,55460.0,0.0,55460.0,55460.0
