rank,cnpj,nome_credor,pago_core_R$,share_core,territorial_class,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count,rubricas_core,empenhos_core
91,19390998000297,GAMBATTO H1 VEICULOS LTDA,91000.0,0.0012631960402472112,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8785,PASSO FUNDO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,1
92,51978129000100,ARPL DISTRIBUIDORA LTDA,90376.26,0.0012545377336742024,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,9823,BOM PRINCIPIO,0,MATERIAL DE CONSUMO,39
93,33084691000299,ESSENCE DECOR LTDA,90363.0,0.0012543536679654808,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8619,CRUZ ALTA,0,EQUIPAMENTOS E MATERIAL PERMANENTE,15
94,57530637000107,T.M.F FALCAO LTDA,90012.64,0.0012494902243977773,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,17
95,03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITAL,87816.1,0.0012189994482412433,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8533,BARAO DE COTEGIPE,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",16
96,20230791000668,CEMITERIO E CREMATORIO MEMORIAL ANGELOS,85291.81,0.0011839590841485439,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,4,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",6
97,49333270000103,D C METZ COMERCIAL,84012.8,0.0011662047943964936,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8717,IVOTI,0,EQUIPAMENTOS E MATERIAL PERMANENTE,5
98,41098601000166,MC FARMA LTDA,84000.0,0.0011660271140743487,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8161,ITAJAI,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",4
99,51601943000100,J. M. DE BITTENCOURT & CIA. LTDA.,83165.13,0.0011544380538752149,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8425,DOUTOR MAURICIO CARDOSO,0,OBRAS E INSTALAÇÕES,3
100,10748403000177,INSTITUTO DE ANATOMIA PATOLOGICA E CITOP,82609.52,0.0011467254785793716,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8853,SANTO ANGELO,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
101,04210265000175,ESSENCIAL ASSESSORIA TRIBUTÁRIA LTDA,82107.92,0.0011397626309553274,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8577,CAMPO BOM,0,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,4
102,07759909000177,ANDRES EDITORA JORNALISTICA LTDA.,81242.15,0.001127744639353516,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12
103,61787241000117,TALISON HENRICK VIANA DOS SANTOS,80331.13,0.0011150985200503731,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6
